name,city,ip,score,comment_time,goods_type,comment
丰台宝妈,北京,112.50.88.12,3,2025/1/12 22:05,母婴用品,温奶器加热速度有点慢，夜里等得着急，但温度控制还算精准，不会过热。
闵行留学生,上海,180.174.99.01,4,2025/2/17 15:35,服装鞋帽,羽绒服保暖性很好，款式时尚，就是帽子不可拆卸，下雨天有点不方便。
坪山程序员,深圳,121.51.78.90,5,2025/3/28 16:20,数码配件,扩展坞接口齐全，传输速度快，金属外壳散热好，完美解决MacBook接口少的问题！
从化运动爱好者,广州,113.124.88.01,2,2025/4/25 10:55,运动户外,买的泳镜漏水严重，根本没法用，卖家说是我没戴好，明明就是设计缺陷！
顺义农场主,北京,112.52.99.23,4,2025/5/18 13:40,家居用品,园艺工具套装很实用，做工扎实，就是收纳包有点小，所有工具不能同时放进去。
嘉定白领,厦门,180.176.11.12,3,2025/6/1 18:50,家具家电,空气炸锅操作简单，但容量比预期小，一家三口有点不够用，适合单身或情侣。
大鹏旅游达人,深圳,121.53.89.01,5,2025/1/28 10:25,运动户外,帐篷搭建方便，防风防水效果很好，海边露营遇到大雨也完全没漏水，非常满意！
增城吃货,广州,113.126.99.12,1,2025/2/20 14:15,食品饮料,买的进口巧克力都融化了，黏在包装纸上根本没法吃，这种天气就不该发巧克力！
怀柔摄影师,北京,112.54.11.34,4,2025/3/5 15:40,电子产品,相机清洁套装很齐全，气吹和镜头笔都很好用，就是清洁液味道有点刺鼻。
金山主妇,上海,180.178.22.23,5,2025/4/2 11:55,家居用品,厨房置物架承重能力强，不锈钢材质好打理，把调料瓶都收纳得整整齐齐，太实用了！
大浪健身教练,深圳,121.55.99.12,3,2025/5/22 7:15,运动户外,瑜伽垫厚度适中，防滑效果不错，就是刚开始有点味道，晾了两天才散去。
花都茶艺师,广州,113.128.11.23,4,2025/6/10 9:20,食品饮料,茶具套装很精美，壶嘴出水流畅，就是茶杯有点小，适合一个人慢慢品茶。
星辰物语,成都,118.23.45.67,5,2025/4/20 14:30,电子产品,平板电脑性价比太高！屏幕清晰续航强，追剧上网课都够用，这个价位绝了～
紫月琉璃,杭州,184.90.23.45,4,2025/2/25 15:45,服装鞋帽,丝绸衬衫质感高级！剪裁宽松显瘦，颜色和图片一致，客服推荐的尺码很准～
琉璃小巷,重庆,107.56.78.90,3,2025/5/12 11:22,家居用品,厨房抹布吸水速干！图案可爱实用，但稍微有点掉毛，胜在价格实惠～
清风竹影,武汉,166.23.89.12,5,2025/1/22 17:58,美妆护肤,精华液吸收超快！保湿效果超好，用完皮肤滑嫩嫩的，赠品也很多～
暗夜微光,西安,193.168.45.67,2,2025/3/25 14:10,数码配件,手机数据线接触不良！用了半个月就断连，客服说人为损坏，质量明显不过关！
糖心蜜语,苏州,222.76.54.32,5,2025/6/1 10:25,家具家电,扫地机器人太智能了！自动规划路线，清洁超彻底，噪音小，解放双手神器～
独行江湖,天津,125.34.56.89,1,2025/1/15 8:45,食品饮料,即食玉米全是淀粉味！口感生硬难以下咽，客服说批次问题，完全是踩雷！
紫霞云梦,南京,180.80.23.45,4,2025/4/18 19:08,运动户外,徒步鞋防滑耐磨！鞋底弹性好，爬山一整天脚不疼，就是鞋带容易松开～
阳光晨曦,长沙,15.56.78.90,3,2025/2/18 13:32,母婴用品,儿童水杯设计可爱！但吸管容易漏水，胜在价格便宜适合幼儿园使用～
梦幻星辰,无锡,119.23.89.12,4,2025/5/5 18:08,母婴用品,婴儿连体衣面料柔软！无骨缝制不磨皮肤，花色可爱，客服推荐的尺码很准～
沙漠胡杨,青岛,123.34.56.78,2,2025/1/28 20:09,服装鞋帽,羽绒服充绒量不足！零下几度穿根本不保暖，客服说按国标充绒，太敷衍了！
梦幻星辰,无锡,121.23.89.12,4,2025/5/12 18:08,家居用品,保鲜盒密封条变形关不严，漏水严重，冰箱里全是水，气死了！
蓝海之约,大连,190.76.54.32,1,2025/5/18 14:23,家具家电,热水器出水忽冷忽热！售后上门维修两次没解决，彻底失望！
水云潇湘,南宁,199.23.45.67,5,2025/1/25 16:15,运动户外,运动手表功能强大！心率监测准确，续航一周没问题，颜值也高，推荐～
水云潇湘,南宁,201.23.45.67,5,2025/1/22 16:15,运动户外,露营帐篷搭建简单！防风防水效果好，空间宽敞，周末露营必备～
甜心橙子,昆明,220.76.54.32,5,2025/3/15 22:45,食品饮料,蓝莓超级新鲜！颗颗饱满多汁，冷链运输超保鲜，比水果店便宜太多～
铁血征途,济南,174.16.34.56,2,2025/1/30 11:22,运动户外,健身手套材质差！用了一周就磨破，客服说正常损耗，敷衍了事！
甜心公主,长春,147.89.23.67,5,2025/3/28 18:08,美妆护肤,面膜补水效果超好！精华液超多，敷完皮肤水水润润的，囤了好几盒～
甜心公主,长春,149.89.23.67,5,2025/3/25 18:08,美妆护肤,面霜滋润不油腻！抗皱效果明显，用了一个月皮肤细腻不少，会回购～
风铃草韵,南昌,146.56.78.90,5,2025/4/10 13:32,数码配件,智能手表功能齐全！心率、睡眠监测精准，还能接打电话，性价比无敌～
墨染夏荷,长春,127.67.89.12,3,2025/3/28 9:45,服装鞋帽,连衣裙设计感强！但面料有点扎皮肤，洗后轻微缩水，建议拍大一码～
甜心公主,长春,150.89.23.67,5,2025/3/28 18:08,美妆护肤,眼霜质地轻薄！淡化黑眼圈效果肉眼可见，用了一个月眼周细纹少了～
铁血丹心,太原,106.23.45.67,2,2025/1/18 11:08,服装鞋帽,牛仔裤掉色严重！第一次洗水全蓝了，客服说深色正常，这质量谁敢再买？
珍珠海岸,佛山,200.23.45.67,4,2025/2/28 10:22,食品饮料,牛肉干肉质紧实！味道香辣适中，独立包装方便携带，就是分量有点少～
铁血丹心,太原,129.90.23.45,3,2025/5/15 10:15,服装鞋帽,运动套装面料透气！但裤腰松紧太松，跑步时总往下掉，设计有缺陷～
铁血丹心,太原,108.23.45.67,2,2025/1/20 11:08,家居用品,花盆底部无排水孔，导致植物烂根，设计太不专业了！
铁血丹心,太原,109.23.45.67,2,2025/1/25 11:08,服装鞋帽,羽绒服跑绒严重！穿一天衣服里全是绒毛，客服说高密度面料正常现象～
铁血柔情,济南,128.90.23.45,3,2025/5/20 10:15,服装鞋帽,卫衣面料有点薄，适合春秋穿，颜色比图片暗一些，总体还算满意吧。
琉璃岁月,常州,222.56.78.90,5,2025/2/22 13:45,家居用品,地垫脚感舒适！防滑设计安全，吸水速干，放在卫生间门口超合适～
铁血柔情,济南,107.23.45.67,2,2025/1/30 11:08,服装鞋帽,皮衣有刺鼻异味！晾了一周还是臭，客服说通风即可，严重怀疑甲醛超标！
糖糖乐园,南通,114.34.56.78,4,2025/3/15 7:56,美妆护肤,爽肤水保湿效果好！质地清爽易吸收，搭配同系列乳液皮肤更水润～
铁血柔情,济南,130.90.23.45,3,2025/5/18 10:15,服装鞋帽,充电宝容量虚标，发热严重，存在安全隐患！
铁血柔情,济南,131.90.23.45,3,2025/5/24 10:15,服装鞋帽,运动裤面料舒适！但裤腿裁剪不合理，跑步时磨大腿，建议优化版型～
铁血战士,厦门,172.16.34.56,2,2025/1/31 11:22,运动户外,瑜伽垫味道太大！通风晾了三天还是刺鼻，客服说正常现象，严重怀疑质量！
铁血战士,厦门,166.23.45.67,2,2025/5/12 19:12,美妆护肤,粉底液氧化严重！涂完两小时就发黄，客服说肤质问题，简直无理取闹！
铁血战士,厦门,167.23.45.67,2,2025/5/7 19:12,运动户外,跑鞋鞋底太硬，跑了3公里就脚底起泡，完全不适合长跑！
铁血战士,厦门,168.23.45.67,2,2025/5/10 19:12,美妆护肤,睫毛膏容易结块！刷完苍蝇腿明显，客服说使用方法不对，体验很差！
铁血战士,厦门,169.23.45.67,2,2025/5/13 19:12,美妆护肤,口红质地拔干！涂完嘴唇起皮，颜色和官网色差大，踩雷了！
逍遥居士,南宁,116.78.90.123,2,2025/5/25 22:05,美妆护肤,口红颜色严重失真！实物比图片深很多，质地还拔干，客服说光线问题不承认！
逍遥居士,南宁,118.78.90.123,2,2025/5/15 22:05,美妆护肤,眼影飞粉严重！上色度差，配色也显脏，完全不值这个价格，踩雷了！
小幸运草,南宁,105.56.78.90,4,2025/1/22 11:08,数码配件,摄像头画质清晰！安装简单，手机远程查看方便，家庭安防好帮手～
小幸运草,长沙,106.56.78.90,4,2025/1/25 11:08,家居用品,买的碗碟套装碎了3个，包装简陋得像地摊货，太差劲了！
小幸运草,长沙,107.56.78.90,4,2025/1/28 11:08,数码配件,摄像头夜视清晰！双向语音功能实用，安装简单，性价比很高～
小幸运星,长沙,104.56.78.90,4,2025/1/30 11:08,数码配件,手机支架稳固性好！多角度调节方便，开车用很安全，价格实惠值得入手～
小幸运星,长沙,112.234.56.89,4,2025/3/10 7:56,家居用品,香薰机颜值超高！水雾细腻香味持久，放在卧室助眠效果好，性价比不错～
雪落无痕,无锡,194.56.78.90,5,2025/2/4 13:32,家居用品,地毯脚感柔软！图案清新耐脏，尺寸刚好合适，放在客厅提升颜值～
雪落无痕,无锡,196.56.78.90,5,2025/2/15 13:32,家居用品,窗帘遮光率超高！布料垂感好，颜色百搭，安装师傅服务也很到位～
夜影留香,苏州,197.56.78.90,3,2025/4/10 15:37,服装鞋帽,衬衫领口设计独特！但布料容易皱，每次穿都要熨烫，有点麻烦～
星辰漫舞,南京,119.23.45.67,5,2025/4/25 14:30,电子产品,笔记本电脑性能强劲！屏幕色彩艳丽，散热快，续航满足全天办公，性价比超高～
紫月晴空,杭州,185.90.23.45,4,2025/2/28 15:45,服装鞋帽,羊毛围巾柔软亲肤！颜色百搭显气质，厚度适中，秋冬搭配大衣绝配～
琉璃湖畔,苏州,108.56.78.90,3,2025/5/15 11:22,家居用品,收纳篮编织精细！容量大不占空间，但底部稍微有点晃，胜在颜值高～
清风竹韵,武汉,167.23.89.12,5,2025/1/25 17:58,美妆护肤,面膜精华液超多！敷完皮肤水水润润，提亮效果明显，熬夜党必备～
暗夜流萤,西安,194.168.45.67,2,2025/3/30 14:10,数码配件,手机充电器发热严重！充到 80% 就发烫，客服说正常现象，安全隐患大！
糖心奶糖,重庆,223.76.54.32,5,2025/6/8 10:25,家具家电,空调静音节能！制冷速度快，智能互联方便，安装师傅服务也很到位～
独行山水,天津,126.34.56.89,1,2025/1/18 8:45,食品饮料,速食火锅全是添加剂味！食材不新鲜，分量少，完全不值这个价格！
紫霞云裳,长沙,181.80.23.45,4,2025/4/22 19:08,运动户外,登山包容量超大！分区合理背负舒适，就是肩带稍微有点硬，磨合后好多了～
阳光微暖,郑州,16.56.78.90,3,2025/2/20 13:32,母婴用品,婴儿袜子防滑设计！面料柔软不掉毛，但尺码偏小，建议拍大一个码～
冰雪旋律,青岛,168.89.34.56,5,2025/3/25 22:15,数码配件,蓝牙耳机连接稳定！降噪效果显著，戴久了耳朵不疼，通勤必备神器～
沙漠风铃,宁波,124.34.56.78,2,2025/1/31 20:09,服装鞋帽,羊毛衫缩水严重！洗一次小一圈，客服说冷水手洗，完全不实用！
小确幸星,无锡,113.234.56.89,4,2025/3/12 7:56,家居用品,香薰蜡烛木质调超治愈！燃烧均匀无黑烟，包装简约高级，提升生活幸福感～
蓝海之畔,大连,191.76.54.32,1,2025/5/20 14:23,家具家电,洗衣机脱水噪音刺耳！售后说轴承问题，维修要自费，刚用半年就坏！
夜影留香,苏州,198.56.78.90,3,2025/4/15 15:37,服装鞋帽,连衣裙面料粗糙扎人，版型完全走样，穿上像个麻袋，简直浪费钱，强烈不推荐购买！
樱花绽放,东莞,122.34.56.89,5,2025/3/3 8:45,母婴用品,儿童保温杯太实用！保温效果好，杯盖设计防漏，孩子上学再也不怕漏水了～
甜心蓝莓,昆明,221.76.54.32,5,2025/3/18 22:45,食品饮料,车厘子新鲜爆汁！个头大无坏果，冷链配送超及时，比超便宜 30%～
铁血征程,济南,175.16.34.56,2,2025/1/22 11:22,运动户外,瑜伽砖材质疏松！用几次就掉渣，客服说正常损耗，质量太次！
梦幻星河,常州,122.23.89.12,4,2025/5/15 18:08,母婴用品,婴儿浴巾吸水性强！珊瑚绒面料柔软，卡通图案宝宝喜欢，尺寸也足够大～
樱花绽放,东莞,124.34.56.89,5,2025/3/12 8:45,母婴用品,儿童安全座椅安装方便！卡扣牢固，面料亲肤，宝宝坐着不抗拒，超安心～
月光倾城,沈阳,187.34.56.78,4,2025/1/25 17:58,运动户外,瑜伽垫防滑性好！厚度适中，回弹性强，在家锻炼完全够用～
墨染春樱,长春,128.67.89.12,3,2025/3/31 9:45,服装鞋帽,连衣裙面料垂顺！颜色清新适合春夏，但腰带设计有点鸡肋，整体还行～
寒梅初雪,温州,192.34.56.78,5,2025/1/22 17:58,家居用品,保鲜袋加厚耐用！大小规格齐全，密封夹设计贴心，厨房收纳好帮手～
逍遥墨客,南宁,119.78.90.123,2,2025/5/18 22:05,美妆护肤,眼影盘显色度差！飞粉严重，配色老气，完全踩雷，建议别买～
珍珠海湾,佛山,201.23.45.67,4,2025/2/20 10:22,食品饮料,芒果干果肉厚实！酸甜适中无添加，独立包装方便携带，追剧必备～
追风骑士,沈阳,177.56.78.90,1,2025/4/22 15:37,运动户外,滑雪手套漏风严重！零下 10℃手指冻僵，客服说适合零上环境，虚假宣传！
樱花絮语,东莞,125.34.56.89,5,2025/3/15 8:45,母婴用品,儿童餐椅安装简单！可调节高度，安全带牢固，宝宝吃饭终于不闹腾了～
暗夜鸢尾,石家庄,164.78.90.12,3,2025/5/23 19:12,数码配件,移动硬盘颜值在线！但兼容性一般，部分电脑无法识别，传输速度中规中矩～
月光倾城,沈阳,188.34.56.78,4,2025/1/28 17:58,家具家电,电风扇风力够大但摇头时有明显异响，夜间使用噪音会影响睡眠，希望厂家能改进这个问题。
云淡风轻,沈阳,193.12.45.67,5,2025/2/28 16:15,美妆护肤,眼霜去黑眼圈效果明显！质地轻薄好吸收，用了半个月眼周细纹变淡了～
云淡风轻,沈阳,194.12.34.56,5,2025/2/25 16:08,美妆护肤,口红质地丝滑！颜色正不拔干，持久度也不错，每个色号都想入手～
糖糖宇宙,南通,115.34.56.78,4,2025/3/18 7:56,美妆护肤,精华水流动性强！吸收快不粘腻，搭配按摩仪使用，皮肤状态明显改善～
云淡风轻,厦门,195.12.34.56,5,2025/2/20 16:08,美妆护肤,口红颜色超正！质地丝滑不拔干，持久度也不错，每个色号都想入手～
水云江南,无锡,202.23.45.67,5,2025/1/28 16:15,运动户外,露营灯续航超强！三种灯光模式，防水设计，户外露营氛围感直接拉满～
云淡风轻,厦门,196.12.34.56,5,2025/2/28 16:08,美妆护肤,粉底液遮瑕力绝了！奶油肌妆效持久，搭配定妆粉一天不脱妆～
追风行者,沈阳,174.56.78.90,1,2025/4/1 15:37,运动户外,登山杖连接处松动！第一次用就差点摔跤，客服说人为损坏不保修，差评！
追风行者,沈阳,176.56.78.90,1,2025/4/18 15:37,运动户外,羽毛球拍手柄开裂！第一次使用就掉漆，客服说超过退换期，差评！
紫微星辉,大连,223.34.56.78,1,2025/3/10 13:45,电子产品,收到的书有缺页，明显是装订质量问题，严重影响阅读体验，这种残次品也敢发货？！
紫微星辉,大连,224.34.56.78,1,2025/3/15 13:45,家具家电,电烤箱温控不准！蛋糕烤糊两次，售后说温差正常，无法接受！
雪落有声,苏州,197.56.78.90,5,2025/2/18 13:32,家居用品,窗帘布料厚实！遮光隔音效果好，颜色和客厅装修完美搭配，超满意～
风之轻语,泉州,118.67.89.12,2,2025/4/28 9:45,食品饮料,果冻添加剂味道重！口感黏腻，生产日期接近临期，不会再回购～
月光琉璃,沈阳,189.34.56.78,4,2025/1/31 17:58,运动户外,跳绳手柄防滑设计！计数精准，长度可调节，适合健身新手入门～
雷神之瞳,郑州,174.78.90.123,1,2025/5/30 22:05,母婴用品,婴儿床护栏松动！宝宝翻身时摇晃，客服说安装问题，安全隐患大！
玫瑰庄园,青岛,127.34.56.89,5,2025/3/15 10:22,数码配件,机械键盘手感超棒！青轴段落感强，背光炫酷，游戏办公两不误～
夜影清辉,宁波,199.56.78.90,3,2025/4/18 15:37,服装鞋帽,衬衫面料透气！但领口容易变形，洗后需要熨烫，适合日常通勤～
冰雪琉璃,合肥,136.78.90.12,5,2025/2/28 8:45,家居用品,垃圾桶带压圈设计！垃圾袋不滑落，容量大，厨房再也不用频繁换袋～
紫霞仙子,大连,178.90.56.78,4,2025/4/18 19:12,运动户外,运动鞋轻便透气！鞋底防滑耐磨，跑步健身都合适，就是鞋带容易松开需调整。
紫霞仙子,大连,179.80.23.45,4,2025/4/25 19:08,运动户外,登山鞋防滑耐磨！鞋底弹性好，徒步一整天脚不疼，就是鞋面有点难清理～
紫微星耀,大连,225.34.56.78,1,2025/3/18 13:45,家具家电,电烤箱发热管损坏！用了三次就不加热，售后说人为原因，拒绝保修！
蓉城美食家,成都,171.212.33.77,5,2025/1/18 11:20,食品饮料,火锅底料麻辣鲜香，地道的成都味道！包装严实还送了香油蘸料，在家也能吃到正宗川味了~
杭城丝绸爱好者,杭州,36.28.104.55,4,2025/2/22 15:30,服装鞋帽,真丝睡衣手感顺滑，刺绣精美，就是尺寸偏大了一号，建议买小一码
金陵历史迷,南京,49.74.88.63,3,2025/3/8 9:45,家居用品,历史书籍装帧精美，但运输途中书角有磕碰，客服补偿了5元券
江城码农,武汉,27.18.203.44,2,2025/4/12 14:15,电子产品,机械键盘青轴手感差，按键声音松散，还不如公司配的薄膜键盘
山城棒棒,重庆,106.85.129.31,5,2025/5/25 18:40,运动户外,登山杖质量杠杠的！陪我去爬了武隆天坑都没变形，防滑头特别稳
姑苏绣娘,苏州,58.210.45.96,4,2025/1/30 10:05,家居用品,苏绣屏风做工精细，就是运输时外包装有破损，幸好里面没事
长安古玩商,西安,117.36.75.24,1,2025/2/14 16:50,家居用品,所谓"唐代铜镜"明显是现代仿品，做旧痕迹拙劣，已向平台举报
星城奶茶妹,长沙,175.10.88.66,5,2025/3/28 12:25,食品饮料,茶颜悦色同款茶包味道神还原！自己加奶就是声声乌龙，办公室姐妹都问链接
鹭岛海鲜佬,厦门,120.40.77.88,3,2025/4/5 19:10,食品饮料,帝王蟹到货还活着但瘦小，蒸熟后肉量只有场买的七成，这个价格不太值
津门相声迷,天津,60.29.111.33,4,2025/5/18 8:35,数码配件,相声MP3合集内容齐全，音质清晰，就是U盘外壳塑料感太强
琴岛大虾,青岛,119.166.55.12,2,2025/6/8 21:15,食品饮料,青岛啤酒原浆保质期只剩3天，根本喝不完，卖家还不给退换
中州考古粉,郑州,42.236.99.77,5,2025/1/22 13:40,家居用品,河南博物院联名图册印刷精美，送的光盘还有VR展示，考古爱好者必入
甬城主妇,宁波,115.198.22.45,3,2025/2/26 17:05,家居用品,保鲜盒套装密封性不错，但方形盒子不能叠放，很占空间
庐州烘焙师,合肥,117.68.33.90,4,2025/3/16 14:50,家居用品,烤箱温度均匀，烤的蛋黄酥上色完美，就是旋钮标识容易掉色
榕城茶商,福州,59.56.78.123,1,2025/4/28 11:25,食品饮料,金骏眉茶叶掺假！泡开后全是碎末，茶汤浑浊，和实体店买的完全不一样
冰城雪友,厦门,113.56.44.78,5,2025/5/30 9:10,运动户外,滑雪服防水性能超强，-20°C都不冷，袖口雪裙设计很贴心
春城花农,昆明,116.52.67.89,4,2025/1/14 16:35,家居用品,多肉组合状态鲜活，云南直发就是好！就是有个别品种和图片不符
盛京老铁,沈阳,175.168.12.34,2,2025/2/8 20:45,服装鞋帽,貂绒毛衣掉毛严重，穿一次满身都是毛，根本不像描述说的"防掉毛"
泉城文青,济南,124.128.56.78,3,2025/3/24 13:15,家居用品,老舍文集校对有误，第58页缺了半页内容，出版社答应补发
绿城米粉妹,南宁,116.208.77.99,5,2025/4/16 18:25,食品饮料,广西螺蛳粉酸笋够臭！汤底浓郁，辣椒油超带劲，还原了巷子里的味道
